duration,chunk_size,window_size,hz,k,mcc
600,20,10,60,3.0,0.3619676538166766
600,20,10,60,5.0,0.3603139397489967
600,20,10,60,7.0,0.3371111023768494
600,20,10,60,9.0,0.3329556045833171
600,20,10,60,11.0,0.3296280529562935
600,20,10,60,13.0,0.3387721345351882
0,60,5,40,1.0,0.5991022109775819
0,60,5,40,3.0,0.6440196818425623
0,60,5,40,5.0,0.6626217146211634
0,60,5,40,7.0,0.6689812676281987
0,60,5,40,9.0,0.6772687407823048
0,60,5,40,11.0,0.6777438302944011
0,60,5,40,13.0,0.6841739662427887
900,60,10,60,1.0,0.5800386503334852
900,60,10,60,3.0,0.5793172382703051
900,60,10,60,5.0,0.5894658293684486
900,60,10,60,7.0,0.5860785355472619
900,60,10,60,9.0,0.5894658293684486
900,60,10,60,11.0,0.5826957148924619
900,60,10,60,13.0,0.5826957148924619
60,10,1,20,1.0,0.2932909980605827
60,10,1,20,3.0,0.2732387195236128
60,10,1,20,5.0,0.2953121333767111
60,10,1,20,7.0,0.2689960134397913
60,10,1,20,9.0,0.2885172182448627
60,10,1,20,11.0,0.2664504631250347
60,10,1,20,13.0,0.2664504631250347
60,5,5,20,1.0,0.1719564759342285
60,5,5,20,3.0,0.1845798955805982
60,5,5,20,5.0,0.212564165599327
60,5,5,20,7.0,0.2130112337598753
60,5,5,20,9.0,0.2314269602460618
60,5,5,20,11.0,0.2242198680153389
60,5,5,20,13.0,0.2345886820505296
900,20,150,10,1.0,0.2791689673023151
900,20,150,10,3.0,0.3602910378046939
900,20,150,10,5.0,0.3785307297711009
900,20,150,10,7.0,0.3854358812489888
900,20,150,10,9.0,0.3971102569227588
900,20,150,10,11.0,0.4003581270453401
900,20,150,10,13.0,0.4036225378551331
300,5,150,40,1.0,0.1756246966765065
300,5,150,40,3.0,0.2589406184959724
300,5,150,40,5.0,0.2793156672639202
300,5,150,40,7.0,0.2898919817947474
300,5,150,40,9.0,0.2978361895431893
300,5,150,40,11.0,0.3011364907777517
300,5,150,40,13.0,0.3038360313212552
900,20,5,20,1.0,0.447460310820413
900,20,5,20,3.0,0.4979211602832
900,20,5,20,5.0,0.5049252852385621
900,20,5,20,7.0,0.5147504836479695
900,20,5,20,9.0,0.520802730943506
900,20,5,20,11.0,0.520802730943506
900,20,5,20,13.0,0.5258291460188497
600,20,5,40,1.0,0.4602712140657804
600,20,5,40,3.0,0.4810640614051972
600,20,5,40,5.0,0.4944791371670295
600,20,5,40,7.0,0.4893139349213098
600,20,5,40,9.0,0.4959267156673704
600,20,5,40,11.0,0.4934455123202619
600,20,5,40,13.0,0.4924121832496491
0,5,100,60,1.0,0.1800085105922431
0,5,100,60,3.0,0.2753587959352077
0,5,100,60,5.0,0.2445477055242556
0,5,100,60,7.0,0.2557981253795757
0,5,100,60,9.0,0.2545788775066004
0,5,100,60,11.0,0.2584787685027562
0,5,100,60,13.0,0.2595943636943978
